Date,Close,High,Low,Open,Volume
2023-11-09,8044.333984375,8089.024728732639,7954.952495659722,7954.952495659722,46076800
2023-11-10,7887.91552734375,8044.333115704674,7887.91552734375,7999.642376172982,50754600
2023-11-13,7932.60595703125,7977.296694817342,7910.260588138204,7932.60595703125,20827700
2023-11-14,7977.296875,7999.642244397759,7932.606136204482,7954.951505602241,37195700
2023-11-15,8089.0234375,8089.0234375,7999.641963052486,8021.987331664364,84977900
2023-11-16,8111.36962890625,8111.36962890625,7999.642774513602,8089.02425802772,48714300
2023-11-17,8111.36962890625,8111.36962890625,8021.988145392132,8066.678887149191,57050500
2023-11-20,7932.60595703125,8066.678170389525,7932.60595703125,8021.987432603433,49216000
2023-11-21,7843.224609375,7954.951455662393,7843.224609374999,7887.915347889957,107614800
2023-11-22,7932.60595703125,7932.60595703125,7843.224481459067,7843.224481459067,40364800
2023-11-23,7977.296875,8021.987613795519,7910.260766806723,7910.260766806723,55542100
2023-11-24,7977.296875,8021.987613795519,7954.951505602241,7977.296875,43631900
2023-11-27,7932.60595703125,7999.642063710387,7932.60595703125,7954.951325924296,35679000
2023-11-28,7932.60595703125,7999.642063710387,7910.260588138204,7932.60595703125,69070600
2023-11-29,7954.95166015625,7999.642399820049,7954.95166015625,7954.95166015625,54715600
2023-11-30,8021.98681640625,8021.98681640625,7954.950714876392,7977.296082053012,205312100
2023-12-01,7999.64208984375,8021.987458809794,7954.951351911662,7977.296720877705,80566400
2023-12-04,8015.35888671875,8105.166829427083,8015.35888671875,8037.810872395833,54747400
2023-12-05,7992.90673828125,8037.810708721032,7925.550782621576,8037.810708721032,94363900
2023-12-06,7903.09912109375,8037.811037930575,7903.09912109375,7948.003093372692,81852800
2023-12-07,7925.55029296875,7925.55029296875,7835.74235763766,7858.194341470432,91322500
2023-12-08,7858.1953125,7948.003258928571,7858.1953125,7903.0992857142855,43891600
2023-12-11,7858.1953125,7880.647299107143,7790.839352678571,7790.839352678571,78642800
2023-12-12,7813.2900390625,7858.194004804239,7813.2900390625,7813.2900390625,87589300
2023-12-13,7790.8388671875,7858.194822811599,7790.8388671875,7813.290852395533,51560500
2023-12-14,8127.6181640625,8127.618164062499,7858.194357518992,7880.646341397617,115332800
2023-12-15,8284.7822265625,8284.7822265625,8150.070320439533,8194.974289147189,275013500
2023-12-18,8262.330078125,8284.782062032948,8217.426110309103,8262.330078125,111712200
2023-12-19,8307.2333984375,8307.2333984375,8194.973487647805,8194.973487647805,65174500
2023-12-20,8352.138671875,8352.138671875,8284.78271484375,8307.234700520834,72938100
2023-12-21,8374.5888671875,8374.5888671875,8307.232924555965,8352.136886310322,88116700
2023-12-22,8374.5888671875,8397.040848064678,8329.684905433143,8329.684905433143,64449600
2023-12-27,8419.4931640625,8441.945145833333,8374.589200520833,8419.4931640625,64464700
2023-12-28,8441.9462890625,8464.398273873836,8374.59033462849,8374.59033462849,70184600
2023-12-29,8441.9462890625,8486.850258685174,8397.042319439828,8464.398273873836,79903400
2024-01-02,8464.3974609375,8464.3974609375,8397.04151297248,8441.945478282492,30545200
2024-01-03,8397.04296875,8464.39892839238,8374.59098220254,8464.39892839238,34603300
2024-01-04,8509.302734375,8509.302734375,8419.494789948878,8441.946776055409,56501800
2024-01-05,8599.1103515625,8621.56233681462,8509.302410554013,8531.754395806136,85290100
2024-01-08,8599.1103515625,8644.014322066743,8509.302410554013,8621.56233681462,50896000
2024-01-09,8644.015625,8644.015625,8599.111647727274,8621.563636363637,59848600
2024-01-10,8576.6572265625,8666.465155636452,8576.6572265625,8666.465155636452,52774900
2024-01-11,8599.1103515625,8666.466307318864,8599.1103515625,8644.014322066743,39381500
2024-01-12,8711.37109375,8711.37109375,8621.563144329897,8666.46711903995,68253400
2024-01-15,8733.822265625,8756.274250883676,8666.466309848973,8756.274250883676,88399500
2024-01-16,8711.37109375,8756.275068460052,8688.919106394975,8711.37109375,44869200
2024-01-17,8756.2744140625,8756.2744140625,8666.466471354166,8756.2744140625,107706100
2024-01-18,8688.9189453125,8756.274906128876,8644.014971434915,8688.9189453125,71048900
2024-01-19,8644.015625,8778.727556818183,8621.563636363637,8778.727556818183,63176500
2024-01-22,8644.015625,8666.467613636363,8554.207670454545,8621.563636363637,52868300
2024-01-23,8621.5615234375,8621.5615234375,8486.849624633789,8486.849624633789,92348600
2024-01-24,8554.2060546875,8621.562007874016,8509.30208589649,8621.562007874016,84906000
2024-01-25,8531.75390625,8599.109858141446,8486.849938322368,8486.849938322368,63212700
2024-01-26,8397.04296875,8486.85091493984,8352.13899565508,8441.946941844919,78977300
2024-01-29,8576.6572265625,8576.6572265625,8419.493350683082,8441.94533295157,73452800
2024-01-30,8666.466796875,8666.466796875,8509.30289123219,8531.75487775259,73136400
2024-01-31,8576.6572265625,8711.36912017343,8576.6572265625,8711.36912017343,102581200
2024-02-01,8711.37109375,8733.823081105025,8599.111156974872,8666.46711903995,104208700
2024-02-02,8711.37109375,8801.179043170103,8644.015131684922,8778.727055815078,99324000
2024-02-05,8599.1103515625,8688.918292570985,8554.206381058257,8688.918292570985,57983300
2024-02-06,8644.015625,8756.275568181818,8644.015625,8756.275568181818,87651000
2024-02-07,8711.37109375,8733.823081105025,8666.46711903995,8711.37109375,92953500
2024-02-12,8801.177734375,8801.177734375,8711.369798309948,8756.273766342474,87949400
2024-02-13,8733.822265625,8801.178221401029,8711.370280366324,8756.274250883676,66072400
2024-02-15,8846.08203125,8958.34195550444,8846.08203125,8935.889970653552,164748900
2024-02-16,8935.8896484375,8980.7936165201,8868.5336963136,8958.341632478801,142277200
